"id","title","description","technologies__001","technologies__002","technologies__003","type","image","missions__001","missions__002","missions__003","missions__004","missions__005","missions__006"
"29","Project 29","Application météo avancée avec géolocalisation.","React","REST API","Bootstrap","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"30","Project 30","Portfolio artistique avec transitions animées.","Vue","GSAP","SCSS","Portfolio","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"31","Project 31","Outil CRM simplifié pour petites entreprises.","Angular","Node.js","PostgreSQL","SaaS","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"32","Project 32","Application de recettes avec filtres par ingrédients.","React","Firebase","Tailwind","Lifestyle","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"33","Project 33","Plateforme de dons en ligne sécurisée.","Next.js","Stripe","MongoDB","Nonprofit","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"34","Project 34","Application de suivi budgétaire personnelle.","Vue","Chart.js","Firebase","Finance","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"35","Project 35","Système de gestion scolaire avec espace élève.","React","Node.js","MySQL","Education","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"36","Project 36","Application météo simplifiée avec design épuré.","HTML","CSS","JavaScript","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"37","Project 37","Plateforme de réservation hôtelière responsive.","Next.js","MongoDB","Stripe","Travel","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"38","Project 38","Application de quiz interactif avec score en temps réel.","React","Firebase","TypeScript","Game","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"39","Project 39","Blog personnel minimaliste avec CMS intégré.","Vue","Node.js","SQLite","Blog","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"40","Project 40","Application de suivi de livraison en temps réel.","Angular","Express","MongoDB","Logistics","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"41","Project 41","Plateforme de podcasts avec lecteur intégré.","React","Node.js","PostgreSQL","Media","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"42","Project 42","Application de gestion de stocks avec alertes automatiques.","Vue","Firebase","Tailwind","Business","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"43","Project 43","Outil d’analyse SEO avec indicateurs dynamiques.","Next.js","TypeScript","Chart.js","Marketing","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"44","Project 44","Plateforme communautaire dédiée aux artistes.","React","MongoDB","Node.js","Community","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"45","Project 45","Application de gestion de temps avec rappels intelligents.","React Native","Expo","Firebase","Productivity","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"46","Project 46","Site vitrine corporate avec design moderne.","HTML","CSS","JavaScript","Website","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"47","Project 47","Application météo avancée avec radar interactif.","Vue","REST API","Tailwind","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"48","Project 48","Plateforme de freelancing avec gestion des profils.","Next.js","MongoDB","Stripe","Marketplace","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"49","Project 49","Application bancaire démo avec interface sécurisée.","Angular","TypeScript","RxJS","Fintech","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"50","Project 50","Système de réservation restaurant avec confirmation email.","React","Node.js","MySQL","Hospitality","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"51","Project 51","Plateforme d’apprentissage linguistique interactive.","Vue","Firebase","Bootstrap","Education","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"52","Project 52","Application de gestion RH avec tableau de bord.","React","Node.js","PostgreSQL","Business","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"53","Project 53","Site portfolio minimal avec animations CSS.","HTML","CSS","GSAP","Portfolio","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"54","Project 54","Application de prise de rendez-vous médicale.","Next.js","MongoDB","Stripe","Health","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"55","Project 55","Plateforme communautaire gaming avec chat intégré.","React","Socket.io","Express","Gaming","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"56","Project 56","Application météo design sombre avec API externe.","React","REST API","Tailwind","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"57","Project 57","SaaS de facturation en ligne pour indépendants.","Vue","Node.js","PostgreSQL","SaaS","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"58","Project 58","Plateforme e-learning avec vidéos et quiz intégrés.","Next.js","Firebase","Stripe","Education","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"59","Project 59","Application de gestion d’événements culturels.","Angular","MongoDB","Express","Event","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"60","Project 60","Dashboard financier avec graphiques dynamiques.","React","Chart.js","TypeScript","Finance","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"61","Project 61","Plateforme de streaming vidéo avec lecteur custom.","Vue","Node.js","PostgreSQL","Media","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"62","Project 62","Application de suivi nutritionnel avec statistiques.","React Native","Expo","Firebase","Health","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"63","Project 63","Site corporate multilingue optimisé SEO.","Next.js","Tailwind","TypeScript","Website","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"64","Project 64","Application de gestion documentaire sécurisée.","Angular","Node.js","MongoDB","Business","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"65","Project 65","Plateforme artistique collaborative en ligne.","React","Firebase","SCSS","Community","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"66","Project 66","Application météo avec notifications personnalisées.","Vue","REST API","Bootstrap","Web App","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"67","Project 67","Marketplace de produits digitaux sécurisée.","Next.js","Stripe","MongoDB","Marketplace","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"68","Project 68","Application de gestion de bibliothèque numérique.","React","Node.js","MySQL","Education","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"69","Project 69","Système CRM avec tableau de bord interactif.","Vue","PostgreSQL","Express","SaaS","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"70","Project 70","Application de réservation transport avec suivi en temps réel.","Angular","MongoDB","Stripe","Travel","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"71","Project 71","Plateforme de coaching en ligne avec espace membre.","React","Firebase","Tailwind","Lifestyle","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"72","Project 72","Application de gestion d’inventaire avec export PDF.","Next.js","Node.js","PostgreSQL","Business","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"73","Project 73","Site portfolio interactif avec transitions animées.","Vue","GSAP","SCSS","Portfolio","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"74","Project 74","Application de messagerie sécurisée en temps réel.","React","Socket.io","MongoDB","Communication","https://picsum.photos/246/136","Cahier des charges","Architecture UX","Développement modules sur mesure","Espace membre","Système de crédits","SEO et maintenance"
"75","Project 75","Plateforme SaaS de gestion financière avec tableaux analytiques.","Next.js","TypeScript","Chart.js","Finance","https://picsum.photos/246/136","","","","","",""
